full_name,given_name,surname,irish_flag
Don Young,Don,Young,0
Aumua Amata Radewagen,Aumua,Amata Radewagen,0
Tom O'Halleran,Tom,O'Halleran,0
Ann Kirkpatrick,Ann,Kirkpatrick,0
Raul Grijalva,Raul,Grijalva,0
Paul Gosar,Paul,Gosar,0
Andy Biggs,Andy,Biggs,0
David Schweikert,David,Schweikert,0
Ruben Gallego,Ruben,Gallego,0
Debbie Lesko,Debbie,Lesko,0
Greg Stanton,Greg,Stanton,0
Rick Crawford,Rick,Crawford,0
French Hill,French,Hill,0
Steve Womack,Steve,Womack,0
Bruce Westerman,Bruce,Westerman,0
Doug LaMalfa,Doug,LaMalfa,0
Jared Huffman,Jared,Huffman,0
John Garamendi,John,Garamendi,0
Tom McClintock,Tom,McClintock,0
Mike Thompson,Mike,Thompson,0
Doris Matsui,Doris,Matsui,0
Ami Bera,Ami,Bera,0
Jay Obernolte,Jay,Obernolte,0
Jerry McNerney,Jerry,McNerney,0
Josh Harder,Josh,Harder,0
Mark DeSaulnier,Mark,DeSaulnier,0
Nancy Pelosi,Nancy,Pelosi,0
Barbara Lee,Barbara,Lee,0
Jackie Speier,Jackie,Speier,0
Eric Swalwell,Eric,Swalwell,0
Jim Costa,Jim,Costa,0
Ro Khanna,Ro,Khanna,0
Anna Eshoo,Anna,Eshoo,0
Zoe Lofgren,Zoe,Lofgren,0
Jimmy Panetta,Jimmy,Panetta,0
David G. Valadao,David,Valadao,0
Kevin McCarthy,Kevin,McCarthy,0
Salud Carbajal,Salud,Carbajal,0
Mike Garcia,Mike,Garcia,0
Julia Brownley,Julia,Brownley,0
Judy Chu,Judy,Chu,0
Adam Schiff,Adam,Schiff,0
Tony Cárdenas,Tony,Cárdenas,0
Brad Sherman,Brad,Sherman,0
Pete Aguilar,Pete,Aguilar,0
Grace Napolitano,Grace,Napolitano,0
Ted Lieu,Ted,Lieu,0
Jimmy Gomez,Jimmy,Gomez,0
Norma Torres,Norma,Torres,0
Raul Ruiz,Raul,Ruiz,0
Karen Bass,Karen,Bass,0
Linda Sánchez,Linda,Sánchez,0
Young Kim,Young,Kim,0
Lucille Roybal-Allard,Lucille,Roybal-Allard,0
Mark Takano,Mark,Takano,0
Ken Calvert,Ken,Calvert,0
Maxine Waters,Maxine,Waters,0
Nanette Barragán,Nanette,Barragán,0
Katie Porter,Katie,Porter,0
Lou Correa,Lou,Correa,0
Alan Lowenthal,Alan,Lowenthal,0
Michelle Steel,Michelle,Steel,0
Mike Levin,Mike,Levin,0
Darrell Issa,Darrell,Issa,0
Juan Vargas,Juan,Vargas,0
Scott Peters,Scott,Peters,0
Sara Jacobs,Sara,Jacobs,0
Diana DeGette,Diana,DeGette,0
Joe Neguse,Joe,Neguse,0
Lauren Boebert,Lauren,Boebert,0
Ken Buck,Ken,Buck,0
Doug Lamborn,Doug,Lamborn,0
Jason Crow,Jason,Crow,0
Ed Perlmutter,Ed,Perlmutter,0
John Larson,John,Larson,0
Joe Courtney,Joe,Courtney,0
Rosa L. DeLauro,Rosa,DeLauro,0
Jim Himes,Jim,Himes,0
Jahana Hayes,Jahana,Hayes,0
Lisa Blunt Rochester,Lisa,Blunt Rochester,0
Matt Gaetz,Matt,Gaetz,0
Neal Dunn,Neal,Dunn,0
Kat Cammack,Kat,Cammack,0
John Rutherford,John,Rutherford,0
Alfred Lawson,Alfred,Lawson,0
Michael Waltz,Michael,Waltz,0
Stephanie Murphy,Stephanie,Murphy,0
Bill Posey,Bill,Posey,0
Darren Soto,Darren,Soto,0
Val Demings,Val,Demings,0
Daniel Webster,Daniel,Webster,0
Gus M. Bilirakis,Gus,Bilirakis,0
Charlie Crist,Charlie,Crist,0
Kathy Castor,Kathy,Castor,0
Scott Franklin,Scott,Franklin,0
Vern Buchanan,Vern,Buchanan,0
Greg Steube,Greg,Steube,0
Brian Mast,Brian,Mast,0
Byron Donalds,Byron,Donalds,0
Sheila Cherfilus-McCormick,Sheila,Cherfilus-McCormick,0
Lois Frankel,Lois,Frankel,0
Theodore E. Deutch,Theodore,Deutch,0
Debbie Wasserman Schultz,Debbie,Wasserman Schultz,0
Frederica S. Wilson,Frederica,Wilson,0
Mario Diaz-Balart,Mario,Diaz-Balart,0
Carlos Gimenez,Carlos,Gimenez,0
Maria Elvira Salazar,Maria,Elvira Salazar,0
Earl Carter,Earl,Carter,0
Sanford Bishop Jr.,Sanford,Bishop,0
Drew Ferguson,Drew,Ferguson,0
Hank Johnson,Hank,Johnson,0
Nikema Williams,Nikema,Williams,0
Lucy McBath,Lucy,McBath,0
Carolyn Bourdeaux,Carolyn,Bourdeaux,0
Austin Scott,Austin,Scott,0
Andrew Clyde,Andrew,Clyde,0
Jody Hice,Jody,Hice,0
Barry Loudermilk,Barry,Loudermilk,0
Rick Allen,Rick,Allen,0
David Scott,David,Scott,0
Marjorie Taylor Greene,Marjorie,Taylor Greene,0
Michael F.Q. San Nicolas,Michael,San Nicolas,0
Ed Case,Ed,Case,0
Kaiali'i Kahele,Kaiali'i,Kahele,0
Russ Fulcher,Russ,Fulcher,0
Michael K. Simpson,Michael,Simpson,0
Bobby Rush,Bobby,Rush,0
Robin Kelly,Robin,Kelly,0
Marie Newman,Marie,Newman,0
Jesus Garcia,Jesus,Garcia,0
Mike Quigley,Mike,Quigley,0
Sean Casten,Sean,Casten,0
Danny K. Davis,Danny,Davis,0
Raja Krishnamoorthi,Raja,Krishnamoorthi,0
Jan Schakowsky,Jan,Schakowsky,0
Brad Schneider,Brad,Schneider,0
Bill Foster,Bill,Foster,0
Mike Bost,Mike,Bost,0
Rodney Davis,Rodney,Davis,0
Lauren Underwood,Lauren,Underwood,0
Mary Miller,Mary,Miller,0
Adam Kinzinger,Adam,Kinzinger,0
Cheri Bustos,Cheri,Bustos,0
Darin LaHood,Darin,LaHood,0
Frank Mrvan,Frank,Mrvan,0
Jackie Walorski,Jackie,Walorski,0
Jim Banks,Jim,Banks,0
Jim Baird,Jim,Baird,0
Victoria Spartz,Victoria,Spartz,0
Greg Pence,Greg,Pence,0
André Carson,André,Carson,0
Larry Bucshon,Larry,Bucshon,0
Trey Hollingsworth,Trey,Hollingsworth,0
Ashley Hinson,Ashley,Hinson,0
Mariannette Miller-Meeks,Mariannette,Miller-Meeks,0
Cindy Axne,Cindy,Axne,0
Randy Feenstra,Randy,Feenstra,0
Tracey Mann,Tracey,Mann,0
Jacob LaTurner,Jacob,LaTurner,0
Sharice Davids,Sharice,Davids,0
Ron Estes,Ron,Estes,0
James Comer Jr.,James,Comer,0
Brett Guthrie,Brett,Guthrie,0
John A. Yarmuth,John,Yarmuth,0
Thomas Massie,Thomas,Massie,0
Hal Rogers,Hal,Rogers,0
Andy Barr,Andy,Barr,0
Steve Scalise,Steve,Scalise,0
Troy Carter,Troy,Carter,0
Clay Higgins,Clay,Higgins,0
Mike Johnson,Mike,Johnson,0
Julia Letlow,Julia,Letlow,0
Garret Graves,Garret,Graves,0
Chellie Pingree,Chellie,Pingree,0
Jared Golden,Jared,Golden,0
Andrew Harris,Andrew,Harris,0
Dutch Ruppersberger,Dutch,Ruppersberger,0
John Sarbanes,John,Sarbanes,0
Anthony G. Brown,Anthony,Brown,0
Steny Hoyer,Steny,Hoyer,0
David Trone,David,Trone,0
Kweisi Mfume,Kweisi,Mfume,0
Jamie Raskin,Jamie,Raskin,0
Richard Neal,Richard,Neal,0
Jim McGovern,Jim,McGovern,0
Lori Trahan,Lori,Trahan,0
Jake Auchincloss,Jake,Auchincloss,0
Katherine Clark,Katherine,Clark,0
Seth Moulton,Seth,Moulton,0
Ayanna Pressley,Ayanna,Pressley,0
Stephen Lynch,Stephen,Lynch,0
Bill Keating,Bill,Keating,0
Jack Bergman,Jack,Bergman,0
Bill Huizenga,Bill,Huizenga,0
Peter Meijer,Peter,Meijer,0
John Moolenaar,John,Moolenaar,0
Dan Kildee,Dan,Kildee,0
Fred Upton,Fred,Upton,0
Tim Walberg,Tim,Walberg,0
Elissa Slotkin,Elissa,Slotkin,0
Andy Levin,Andy,Levin,0
Lisa McClain,Lisa,McClain,0
Haley Stevens,Haley,Stevens,0
Debbie Dingell,Debbie,Dingell,0
Rashida Tlaib,Rashida,Tlaib,0
Brenda Lawrence,Brenda,Lawrence,0
Angie Craig,Angie,Craig,0
Dean Phillips,Dean,Phillips,0
Betty McCollum,Betty,McCollum,0
Ilhan Omar,Ilhan,Omar,0
Tom Emmer,Tom,Emmer,0
Michelle Fischbach,Michelle,Fischbach,0
Pete Stauber,Pete,Stauber,0
Trent Kelly,Trent,Kelly,0
Bennie Thompson,Bennie,Thompson,0
Michael Guest,Michael,Guest,0
Steven Palazzo,Steven,Palazzo,0
Cori Bush,Cori,Bush,0
Ann Wagner,Ann,Wagner,0
Blaine Luetkemeyer,Blaine,Luetkemeyer,0
Vicky Hartzler,Vicky,Hartzler,0
Emanuel Cleaver,Emanuel,Cleaver,0
Sam Graves,Sam,Graves,0
Billy Long,Billy,Long,0
Jason Smith,Jason,Smith,0
Matt Rosendale,Matt,Rosendale,0
Jeffrey Fortenberry,Jeffrey,Fortenberry,0
Don Bacon,Don,Bacon,0
Adrian Smith,Adrian,Smith,0
Dina Titus,Dina,Titus,0
Mark Amodei,Mark,Amodei,0
Susie Lee,Susie,Lee,0
Steven Horsford,Steven,Horsford,0
Chris Pappas,Chris,Pappas,0
Annie Kuster,Annie,Kuster,0
Donald Norcross,Donald,Norcross,0
Jeff Van Drew,Jeff,Van Drew,0
Andrew Kim,Andrew,Kim,0
Chris Smith,Chris,Smith,0
Josh Gottheimer,Josh,Gottheimer,0
Frank Pallone,Frank,Pallone,0
Tom Malinowski,Tom,Malinowski,0
Albio Sires,Albio,Sires,0
Bill Pascrell,Bill,Pascrell,0
Donald Payne Jr.,Donald,Payne,0
Mikie Sherrill,Mikie,Sherrill,0
Bonnie Watson Coleman,Bonnie,Watson Coleman,0
