full_name,given_name,surname,full_name_plain,given_name_plain,surname_plain,irish_flag
Hal Rogers,Hal,Rogers,HalRogers,Hal,Rogers,0
Andy Barr,Andy,Barr,AndyBarr,Andy,Barr,0
Steve Scalise,Steve,Scalise,SteveScalise,Steve,Scalise,0
Troy Carter,Troy,Carter,TroyCarter,Troy,Carter,0
Clay Higgins,Clay,Higgins,ClayHiggins,Clay,Higgins,0
Mike Johnson,Mike,Johnson,MikeJohnson,Mike,Johnson,0
Julia Letlow,Julia,Letlow,JuliaLetlow,Julia,Letlow,0
Garret Graves,Garret,Graves,GarretGraves,Garret,Graves,0
Chellie Pingree,Chellie,Pingree,ChelliePingree,Chellie,Pingree,0
Jared Golden,Jared,Golden,JaredGolden,Jared,Golden,0
Andrew Harris,Andrew,Harris,AndrewHarris,Andrew,Harris,0
Dutch Ruppersberger,Dutch,Ruppersberger,DutchRuppersberger,Dutch,Ruppersberger,0
John Sarbanes,John,Sarbanes,JohnSarbanes,John,Sarbanes,0
Anthony G. Brown,Anthony,Brown,AnthonyGBrown,Anthony,Brown,0
Steny Hoyer,Steny,Hoyer,StenyHoyer,Steny,Hoyer,0
David Trone,David,Trone,DavidTrone,David,Trone,0
Kweisi Mfume,Kweisi,Mfume,KweisiMfume,Kweisi,Mfume,0
Jamie Raskin,Jamie,Raskin,JamieRaskin,Jamie,Raskin,0
Richard Neal,Richard,Neal,RichardNeal,Richard,Neal,0
Jim McGovern,Jim,McGovern,JimMcGovern,Jim,McGovern,0
Lori Trahan,Lori,Trahan,LoriTrahan,Lori,Trahan,0
Jake Auchincloss,Jake,Auchincloss,JakeAuchincloss,Jake,Auchincloss,0
Katherine Clark,Katherine,Clark,KatherineClark,Katherine,Clark,0
Seth Moulton,Seth,Moulton,SethMoulton,Seth,Moulton,0
Ayanna Pressley,Ayanna,Pressley,AyannaPressley,Ayanna,Pressley,0
Stephen Lynch,Stephen,Lynch,StephenLynch,Stephen,Lynch,0
Bill Keating,Bill,Keating,BillKeating,Bill,Keating,0
Jack Bergman,Jack,Bergman,JackBergman,Jack,Bergman,0
Bill Huizenga,Bill,Huizenga,BillHuizenga,Bill,Huizenga,0
Peter Meijer,Peter,Meijer,PeterMeijer,Peter,Meijer,0
John Moolenaar,John,Moolenaar,JohnMoolenaar,John,Moolenaar,0
Dan Kildee,Dan,Kildee,DanKildee,Dan,Kildee,0
Fred Upton,Fred,Upton,FredUpton,Fred,Upton,0
Tim Walberg,Tim,Walberg,TimWalberg,Tim,Walberg,0
Elissa Slotkin,Elissa,Slotkin,ElissaSlotkin,Elissa,Slotkin,0
Andy Levin,Andy,Levin,AndyLevin,Andy,Levin,0
Lisa McClain,Lisa,McClain,LisaMcClain,Lisa,McClain,0
Haley Stevens,Haley,Stevens,HaleyStevens,Haley,Stevens,0
Debbie Dingell,Debbie,Dingell,DebbieDingell,Debbie,Dingell,0
Rashida Tlaib,Rashida,Tlaib,RashidaTlaib,Rashida,Tlaib,0
Brenda Lawrence,Brenda,Lawrence,BrendaLawrence,Brenda,Lawrence,0
Angie Craig,Angie,Craig,AngieCraig,Angie,Craig,0
Dean Phillips,Dean,Phillips,DeanPhillips,Dean,Phillips,0
Betty McCollum,Betty,McCollum,BettyMcCollum,Betty,McCollum,0
Ilhan Omar,Ilhan,Omar,IlhanOmar,Ilhan,Omar,0
Tom Emmer,Tom,Emmer,TomEmmer,Tom,Emmer,0
Michelle Fischbach,Michelle,Fischbach,MichelleFischbach,Michelle,Fischbach,0
Pete Stauber,Pete,Stauber,PeteStauber,Pete,Stauber,0
Trent Kelly,Trent,Kelly,TrentKelly,Trent,Kelly,0
Bennie Thompson,Bennie,Thompson,BennieThompson,Bennie,Thompson,0
Michael Guest,Michael,Guest,MichaelGuest,Michael,Guest,0
Steven Palazzo,Steven,Palazzo,StevenPalazzo,Steven,Palazzo,0
Cori Bush,Cori,Bush,CoriBush,Cori,Bush,0
